aoa,cl,cd
18.4763,1.35017,0.01245126
16.188,1.31529,0.01195846
15.2989,1.5756,0.0
14.2982,1.53563,0.01578955
13.3272,1.44394,0.01405523
12.2605,1.3756,0.01281054
10.4465,1.18384,0.01024248
8.34189,0.985391,0.00866313
6.36556,0.778568,0.0073632
4.16309,0.568387,0.00669092
3.12523,0.441592,0.00596163
2.25012,0.348161,0.00599032
1.21216,0.221354,0.00584092
-0.018209,0.121235,0.00561146
-1.0242,-0.008925,0.00557251
-2.87261,-0.215865,0.00596274
-4.07163,-0.329365,0.00610739
-5.01241,-0.439525,0.00654165
-5.79135,-0.538005,0.00665899
-7.93168,-0.765043,0.00795569
-9.87742,-0.965399,0.00969613
-12.2112,-1.17249,0.0
