cl,cm
1.44414,-0.00720475
1.32375,-0.00473268
1.18874,-0.0124621
0.979866,-0.01283128
0.746843,-0.00829525
0.54742,-0.008257
0.327004,-0.00698895
0.106455,-0.00735503
-0.098086,-0.0073156
-0.296275,-0.0072774
-0.513846,-0.00396365
-0.717078,-0.00515095
-0.94281,0.00430385
