cl,cm
1.16945,-0.02894625
1.04708,-0.02775175
0.895712,-0.02983325
0.681346,-0.0274355
0.444265,-0.0262685
0.216689,-0.02468903
0.064929,-0.02800025
-0.182318,-0.02642525
-0.415177,-0.02689325
-0.622279,-0.03022225
-0.810075,-0.03436825
