aoa,cd
24.3504,-0.14088525
22.1305,-0.10392875
20.2307,-0.08502975
19.1671,-0.0833735
18.1036,-0.0804865
17.2978,-0.0796545
16.2018,-0.08045925
15.0093,-0.07962175
14.0104,-0.07796675
12.1737,-0.07588975
10.0146,-0.076679
8.17775,-0.0791135
5.95465,-0.08031175
4.08643,-0.07905475
1.86454,-0.07410225
-0.09955,-0.06997425
-2.35335,-0.0666625
-4.28454,-0.06007575
-6.2804,-0.0575885
-8.3728,-0.05673975
-10.3672,-0.04482475
-12.3942,-0.03823925
-14.4187,-0.01116015
-16.3784,0.01960523
-18.5632,0.04955125
