aoa,cl,cd
24.5049,1.14865,0.01174973
22.2722,1.4612,0.0
20.2835,1.60432,0.0
19.2205,1.62271,0.0
18.383,1.63775,0.0
16.219,1.5981,0.0
14.2482,1.54846,0.0
12.1776,1.45232,0.0
10.3011,1.35785,0.0
8.16191,1.18705,0.01226643
6.27909,0.983096,0.00968802
5.30592,0.883642,0.00810861
4.07558,0.789217,0.00578862
3.13439,0.679846,0.00442485
2.16068,0.562211,0.00426397
-0.011224,0.330369,0.00433821
-1.01703,0.202876,0.00583757
-2.02058,0.108555,0.00601627
-3.96519,-0.121451,0.00676383
-6.07069,-0.367886,0.00782934
-8.17424,-0.59765,0.00916363
-10.0835,-0.819068,0.01051581
-12.1833,-1.0139,0.0
