aoa,cd
22.7773,-0.107005
21.7196,-0.09876575
20.6985,-0.06784675
19.5439,-0.061255
18.4528,-0.05713625
17.2321,-0.0579665
16.3968,-0.05879525
14.244,-0.0600425
12.4113,-0.06458875
10.2569,-0.0683125
8.35945,-0.070798
7.42675,-0.07162825
5.10878,-0.08195825
4.27185,-0.08443975
2.31089,-0.07743425
0.284576,-0.07290475
-1.7098,-0.06754825
-3.89887,-0.0667335
-5.83043,-0.0642655
-7.92348,-0.0617975
-9.9854,-0.06180725
-11.9826,-0.05892525
-14.1731,-0.05356425
-15.1668,-0.030845
-16.2282,-0.0205191
-18.3828,0.00302805
-20.4422,0.02162108
