aoa,cl,cd
18.6453,0.889524,0.00849342
17.4067,1.00627,0.00939016
16.4498,1.4516,0.0
15.523,1.46814,0.0
14.5982,1.51262,0.0
13.41,1.46511,0.0
12.4116,1.38964,0.0
11.3498,1.32402,0.0
10.5089,1.21729,0.01173042
9.15661,1.12539,0.01064812
8.28352,1.01864,0.00948518
6.28139,0.811728,0.00797225
4.27819,0.594917,0.0070383
3.37198,0.478274,0.00607369
2.75881,0.422425,0.00500279
2.24263,0.378074,0.00397419
1.07962,0.258141,0.00375395
0.206006,0.151335,0.00395462
-0.764834,0.031375,0.00528569
-2.99505,-0.205275,0.0059852
-4.05935,-0.285804,0.00625233
-6.06598,-0.527446,0.00703632
-8.10266,-0.737885,0.0
