cl,cd
0.646195,0.0290207
0.568177,0.0225701
0.504724,0.0164979
0.427201,0.0143253
0.344914,0.0126586
0.257886,0.0117259
0.151645,0.0116895
0.061538,0.0119145
0.059928,0.0119144
-0.142743,0.0127385
-0.345224,0.0151763
-0.534764,0.0180706
-0.701534,0.023949
