aoa,cd
24.1456,-0.137523
22.1866,-0.09817575
20.2962,-0.087291
18.2431,-0.07151925
16.2837,-0.05247
14.1974,-0.047677
12.0124,-0.04002975
10.1804,-0.0388875
7.96151,-0.04021
6.0613,-0.03539525
3.96616,-0.0301765
2.12845,-0.030663
-0.033962,-0.028711
-2.03649,-0.02797725
-4.04126,-0.02437903
-6.20967,-0.0199658
-8.0873,-0.02126973
-10.032,-0.01889065
