aoa,cl,cd
16.1834,0.781243,0.0
15.0,0.8547,0.0
13.8813,0.8629,0.0
12.9858,0.900462,0.0
11.5471,0.903785,0.0
9.8846,0.874479,0.0
8.95762,0.825554,0.0
8.03052,0.773356,0.0
6.97546,0.703195,0.0
5.88831,0.619959,0.01572369
4.32185,0.412598,0.01061485
1.89035,0.185546,0.0092325
-0.158014,-0.036712,0.00874957
-2.23943,-0.249265,0.00923012
-4.25756,-0.48808,0.01115337
-6.21261,-0.700828,0.0
-7.2066,-0.776151,0.0
-8.26498,-0.841676,0.0
-10.2862,-0.923655,0.0
-12.3081,-0.93036,0.0
-13.3033,-0.899335,0.0
-14.3949,-0.876499,0.0
