aoa,cl
18.3968,1.34188
17.4633,1.35007
16.3689,1.33872
15.3064,1.35017
14.2117,1.35837
13.3099,1.38611
12.0862,1.38453
11.1523,1.37317
10.2506,1.3504
9.18796,1.3097
8.28657,1.23315
7.03076,1.14681
6.19389,1.03601
4.10094,0.816002
3.07046,0.698646
2.16885,0.578015
0.912575,0.450853
-0.086117,0.349764
-1.0847,0.220943
-1.88986,0.0855879
-2.88877,-0.02532
-4.24238,-0.163973
-5.20929,-0.273275
-6.27288,-0.410321
-8.1104,-0.627349
-9.14219,-0.743225
-10.0451,-0.850949
-10.9481,-0.940735
-12.2708,-1.04687
-13.1743,-1.10404
-14.1748,-1.14164
-15.1757,-1.1466
-16.3383,-1.12546
-17.4043,-1.08473
-18.2766,-1.0244
