aoa,cl
22.5743,1.07276
21.3299,1.0973
20.3722,1.14475
19.1587,1.21512
18.2323,1.27405
17.0827,1.27571
16.1883,1.28064
15.2618,1.27738
14.1754,1.27413
13.2165,1.27578
12.2256,1.25124
11.2025,1.21849
10.2754,1.16608
8.29281,1.00714
6.18127,0.830091
5.18908,0.749728
4.1649,0.625073
3.33267,0.508597
2.21181,0.385508
1.12264,0.268949
0.09735,0.144159
-0.7998,0.00294277
-0.799789,0.00130189
-2.11442,-0.120317
-3.01237,-0.220573
-4.13525,-0.324174
-4.93725,-0.43924
-5.99654,-0.528108
-8.05136,-0.769965
-10.0112,-0.951136
-12.1009,-1.09299
-13.9988,-1.18061
