aoa,cl,cd
12.2308,1.00262,0.0
11.1066,0.994354,0.0
10.11,0.999154,0.0
9.27529,0.977862,0.0
8.31244,0.943498,0.0
7.12501,0.894415,0.0
6.13286,0.794743,0.01757367
4.21208,0.601887,0.01162261
2.03463,0.379539,0.00986826
1.20269,0.278175,0.00920512
-0.014982,0.160398,0.0091247
-1.16882,0.049141,0.00924868
-2.03274,-0.065345,0.009437
-4.0516,-0.282997,0.01227261
-5.17383,-0.397595,0.0
-6.16858,-0.48768,0.0
-7.00139,-0.594074,0.0
-8.12617,-0.671156,0.0
-9.15624,-0.713918,0.0
-10.2857,-0.712598,0.0
-11.0604,-0.711179,0.0
-12.1274,-0.678788,0.0
