aoa,cl,cd
24.3327,-0.131734,0.0
22.1248,-0.093957,0.0
21.3249,-0.080553,0.0
20.3317,-0.080548,0.0
19.4668,-0.078514,0.0
18.2173,-0.078914,0.0
17.2565,-0.074849,0.0
16.2956,-0.072815,0.0
14.0534,-0.070775,0.0
12.1633,-0.073202,0.0
8.06159,-0.094703,0.0
6.93999,-0.102006,0.0
5.97901,-0.103625,0.0
4.95423,-0.102402,0.0
4.05764,-0.100368,0.0
0.95173,-0.093857,0.0
-1.03273,-0.082074,0.0
-2.05734,-0.080852,0.0
-3.08213,-0.082065,0.0
-4.0436,-0.09221,0.0
-6.15679,-0.090982,0.0
-8.17261,-0.075547,0.0
-10.2846,-0.06336,0.0
