aoa,cl
17.6853,1.05664
16.3457,1.12925
15.3889,1.21168
14.4318,1.28754
13.3785,1.33712
12.2284,1.28305
11.2692,1.17627
10.2461,1.11061
8.07042,0.911735
6.3411,0.699483
5.0276,0.557929
4.06592,0.432765
3.32849,0.343811
2.87959,0.296034
1.08344,0.114752
0.152671,0.00262648
-0.778263,-0.0979848
-1.87006,-0.215129
-2.12723,-0.261338
-3.83,-0.436332
-4.76224,-0.542032
-5.85538,-0.651077
-8.07511,-0.879202
-9.84601,-1.08761
-10.9087,-1.18526
-12.0357,-1.25982
-12.937,-1.28474
-13.9301,-0.980571
-14.9912,-0.897981
