aoa,cl,cd
12.2636,0.75123,0.0
11.368,0.77914,0.0
10.1516,0.798858,0.0
8.99888,0.812015,0.0
8.19664,0.787429,0.0
7.23194,0.718548,0.0
6.10669,0.644744,0.00696468
4.97925,0.528272,0.00636988
4.10895,0.428196,0.00592951
3.17408,0.31991,0.00554037
2.14249,0.201772,0.00526537
1.04703,0.090188,0.00476475
0.047183,-0.03125,0.00396458
-0.758502,-0.114951,0.00475472
-2.11139,-0.239692,0.00524809
-3.04748,-0.364438,0.00552871
-4.04659,-0.464575,0.00599498
-4.88611,-0.579486,0.00678078
-6.23845,-0.684573,0.0
