aoa,cl
22.4817,1.23801
21.4297,1.3214
20.4359,1.32806
19.5707,1.34124
18.6079,1.3381
17.4836,1.32193
16.3912,1.30574
15.4275,1.29607
14.4625,1.27007
13.4978,1.2506
12.4372,1.23768
11.4412,1.23127
10.2497,1.19059
9.18477,1.12701
6.20884,0.869227
5.91532,0.813705
5.20435,0.763125
4.16682,0.64721
3.22624,0.539441
2.252,0.413686
1.21384,0.294457
0.110586,0.167045
-0.669025,0.0673844
-1.83979,-0.0976537
-2.87658,-0.192425
-4.01004,-0.287204
-4.82452,-0.416342
-5.89452,-0.519326
-8.13483,-0.767854
-9.85573,-0.954296
-11.9272,-1.08844
-13.1231,-1.14081
-13.8346,-1.17681
-14.8675,-1.20137
-16.0604,-1.20958
-16.9318,-1.22597
-18.0295,-1.25054
-19.1578,-1.25057
-20.0258,-1.2195
