cl,cm
1.25859,-0.073446
1.17234,-0.06870025
1.03661,-0.0733735
0.897582,-0.0833445
0.711855,-0.086073
0.520946,-0.07903625
0.26544,-0.069639
0.041766,-0.0732355
-0.150076,-0.071072
-0.401961,-0.0734905
-0.596054,-0.075826
-0.792037,-0.08389975
