aoa,cl
23.5935,1.22161
22.4431,1.44573
21.1987,1.47523
20.2409,1.5309
19.3471,1.54567
18.2298,1.54245
17.4316,1.53594
16.2818,1.53437
15.1637,1.53606
14.3011,1.51318
13.0869,1.4723
12.384,1.41828
10.1467,1.25455
8.2925,1.04647
6.21342,0.813701
5.09326,0.712017
4.32525,0.603767
3.30063,0.506954
2.11571,0.377299
1.28299,0.262403
0.129454,0.139241
-0.79994,0.0242742
-2.05041,-0.0940491
-3.07673,-0.19432
-4.07106,-0.32088
-6.02852,-0.552746
-7.98707,-0.773236
-10.2039,-0.992262
-11.9718,-1.16527
-14.3521,-1.33854
