aoa,cd
18.2272,-0.0548275
17.0691,-0.049055
16.1363,-0.043699
15.3326,-0.0317895
14.2393,-0.02151125
13.1776,-0.0210702
12.2125,-0.01899273
11.2476,-0.015276
10.1539,-0.0136047
8.22365,-0.01313835
6.22939,-0.00980158
4.20315,-0.0052347
2.11252,-0.0031248
-1.74649,0.0055925
-3.74012,0.0105673
-5.8304,0.01185713
-7.72748,0.01518988
-9.94598,0.01894145
-10.8138,0.02429258
-11.6496,0.02677475
-12.8389,0.03131575
-13.8353,0.0362605
-14.8959,0.04079725
-15.86,0.0461505
-16.7595,0.05436925
-17.7875,0.06504925
