aoa,cd
23.5912,-0.1480225
21.7518,-0.1096155
20.7031,-0.10474825
19.7171,-0.10561325
18.7946,-0.105246
17.8402,-0.10447025
16.6309,-0.104526
15.6442,-0.10457125
14.6571,-0.1058465
13.4788,-0.10713075
11.5356,-0.10804075
9.52755,-0.1134655
7.48729,-0.1123305
6.52985,-0.123452
5.57275,-0.12719025
3.49906,-0.12441775
1.39265,-0.119183
-0.458797,-0.10490125
-2.28005,-0.1123765
-4.29312,-0.10384525
-6.40317,-0.098601
-8.51414,-0.09129975
-10.2421,-0.0901435
-12.4829,-0.07544225
-14.6607,-0.052093
-16.1346,-0.01512688
-17.1603,-0.00611158
-18.0901,0.00373255
-20.3033,0.01106588
