aoa,cl,cd
17.4716,1.28175,0.0
16.5771,1.34214,0.0
15.4581,1.39441,0.0
14.4662,1.41896,0.0
13.5696,1.42231,0.0
12.6394,1.35062,0.0
11.6455,1.30829,0.0
10.5866,1.23007,0.01484153
9.39863,1.11758,0.01307576
8.40282,1.00343,0.01140803
6.28311,0.810975,0.0093488
5.22313,0.722883,0.00797315
4.38717,0.610303,0.00657835
2.23368,0.391621,0.00591542
1.33287,0.256156,0.00577601
0.143254,0.138608,0.0057188
-1.78675,-0.086718,0.00583072
-2.78441,-0.227144,0.00616171
-3.23472,-0.267987,0.00674446
-3.81376,-0.321902,0.007698
-5.84145,-0.570203,0.00968326
-7.93359,-0.779416,0.01157122
-9.9621,-0.99684,0.0
