aoa,cd
24.2288,-0.13170325
22.2477,-0.131692
20.3314,-0.1021155
18.1587,-0.09019325
17.0722,-0.08772225
16.1453,-0.08771625
14.9305,-0.09263625
14.1315,-0.09016725
13.0767,-0.089339
12.0219,-0.08974275
10.967,-0.08850375
10.008,-0.08767625
7.96191,-0.0868415
6.04339,-0.0905255
3.96524,-0.08517225
1.9829,-0.07899775
-0.031584,-0.07323325
-2.07818,-0.0670575
-3.93298,-0.06047175
-6.04376,-0.05265125
-8.12268,-0.04441975
-10.1055,-0.02961475
-12.0246,-0.02015035
-14.1039,-0.01027323
-16.1837,-0.0073804
-18.1354,-0.00037943
-20.2452,0.046892
-22.0369,0.057592
-24.0847,0.07034975
