cl,cm
0.974435,-0.026776
0.854564,-0.02728225
0.678677,-0.02660425
0.622691,-0.027059
0.560258,-0.03899575
0.340997,-0.033846
0.123187,-0.027871
-0.069138,-0.02843625
-0.158926,-0.0272775
-0.287243,-0.02738075
-0.476613,-0.03163825
