aoa,cd
17.8465,-0.09512525
16.9757,-0.09271825
16.3305,-0.092336
15.6852,-0.0923605
14.9108,-0.09361025
13.6849,-0.0867415
12.7491,-0.082302
11.7163,-0.0831545
10.5543,-0.0815705
9.71503,-0.08282275
8.74652,-0.082859
7.6165,-0.08127375
6.58323,-0.08700925
5.67904,-0.08460175
3.54743,-0.08224
1.83531,-0.078641
1.67378,-0.078647
-0.070872,-0.07911925
-2.17166,-0.06942675
-4.27285,-0.0633965
-6.30999,-0.055326
-8.28271,-0.0513245
-9.35001,-0.05054825
-11.291,-0.046137
-12.3267,-0.04047025
-13.3625,-0.03480275
-14.3014,-0.028316
-15.403,-0.01490555
-16.3114,0.00748258
