aoa,cl
15.1466,0.906092
14.223,0.908468
13.3754,0.95011
12.1651,0.95436
11.1145,0.960122
10.2343,1.00181
9.24172,1.09279
8.06499,1.00356
7.01122,0.899474
6.11596,0.791973
5.12999,0.700935
3.91341,0.587118
2.9537,0.478017
1.95951,0.360743
1.10008,0.266313
-0.120239,0.141002
-1.04563,0.0400568
-1.94508,-0.0805734
-2.93739,-0.191309
-4.08803,-0.297026
-5.11289,-0.409387
-6.16728,-0.513542
-6.96696,-0.621142
-8.15381,-0.633487
-9.18738,-0.667231
-10.0785,-0.651918
-11.1855,-0.608604
-12.3307,-0.584923
