aoa,cl,cd
28.4702,-0.142055,0.0
26.4139,-0.119828,0.0
24.3894,-0.09883,0.0
22.5241,-0.085228,0.0
20.4962,-0.077369,0.0
18.3062,-0.073612,0.0
14.2794,-0.068981,0.0
12.1204,-0.067689,0.0
10.3159,-0.066406,0.0
8.25201,-0.070867,0.0
6.22058,-0.073686,0.0
4.02869,-0.072392,0.0
2.1274,-0.068231,0.0
-0.064344,-0.064472,0.0
-1.93408,-0.061954,0.0
-5.99573,-0.053211,0.0
-8.12478,-0.054384,0.0
-10.1237,-0.049396,0.0
-12.0588,-0.047286,0.0
-14.186,-0.037362,0.0
-16.181,-0.011,0.0
-18.2102,0.006734,0.0
-20.2419,0.01337,0.0
