aoa,cl
22.4891,0.897633
21.4539,1.19765
20.3735,1.26828
19.5121,1.27007
18.3614,1.24404
17.4099,1.34912
16.1933,1.30344
15.4225,1.23962
14.3318,1.1791
12.2449,1.05797
10.2515,0.925222
8.18914,0.749629
6.1567,0.572213
5.05914,0.478506
4.21681,0.369935
3.02335,0.297527
1.89064,0.185561
0.982721,0.07848
-0.869617,-0.175403
-2.10161,-0.292582
-3.14046,-0.40156
-4.17922,-0.502346
-4.99169,-0.588292
-6.15978,-0.68094
-7.29585,-0.768677
-8.14321,-0.871275
-10.2872,-1.02546
-12.242,-1.21284
-14.1934,-1.3375
-16.1379,-1.36455
-17.173,-1.34994
-18.3061,-1.34033
-19.2464,-1.34391
-20.3746,-1.27132
-21.2667,-1.09758
-22.3933,-1.00175
